Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
1,Avengers: Endgame,357115007,858373000,41.6,4662,76601,2019-04-26,Walt Disney Studios Motion Pictures
2,Spider-Man: No Way Home,260138569,804793477,32.3,4336,59995,2021-12-17,Sony Pictures Releasing
3,Avengers: Infinity War,257698183,678815482,38,4474,57599,2018-04-27,Walt Disney Studios Motion Pictures
4,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,59982,2015-12-18,Walt Disney Studios Motion Pictures
5,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,51987,2017-12-15,Walt Disney Studios Motion Pictures
6,Jurassic World,208806270,652270625,32,4274,48855,2015-06-12,Universal Pictures
7,The Avengers,207438708,623357910,33.3,4349,47698,2012-05-04,Walt Disney Studios Motion Pictures
8,Black Panther,202003951,700059566,28.9,4020,50249,2018-02-16,Walt Disney Studios Motion Pictures
9,The Lion King,191770759,543638043,35.3,4725,40586,2019-07-19,Walt Disney Studios Motion Pictures
10,Avengers: Age of Ultron,191271109,459005868,41.7,4276,44731,2015-05-01,Walt Disney Studios Motion Pictures
11,Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,41336,2022-05-06,Walt Disney Studios Motion Pictures
12,Incredibles 2,182687905,608581744,30,4410,41425,2018-06-15,Walt Disney Studios Motion Pictures
13,Black Panther: Wakanda Forever,181339761,453829060,40,4396,41251,2022-11-11,Walt Disney Studios Motion Pictures
14,Captain America: Civil War,179139142,408084349,43.9,4226,42389,2016-05-06,Walt Disney Studios Motion Pictures
15,Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,40259,2019-12-20,Walt Disney Studios Motion Pictures
16,Beauty and the Beast,174750616,504014165,34.7,4210,41508,2017-03-17,Walt Disney Studios Motion Pictures
17,Iron Man 3,174144585,409013994,42.6,4253,40946,2013-05-03,Walt Disney Studios Motion Pictures
18,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,38671,2011-07-15,Warner Bros.
19,Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,39134,2016-03-25,Warner Bros.
20,Barbie,162022044,636238421,25.5,4243,38185,2023-07-21,Warner Bros.
21,The Dark Knight Rises,160887295,448139099,35.9,4404,36532,2012-07-20,Warner Bros.
22,The Dark Knight,158411483,533345358,29.7,4366,36282,2008-07-18,Warner Bros.
23,The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,37971,2013-11-22,Lionsgate Films
24,Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,37306,2016-12-16,Walt Disney Studios Motion Pictures
25,Captain Marvel,153433423,426829839,36,4310,35599,2019-03-08,Walt Disney Studios Motion Pictures
26,The Hunger Games,152535747,408010692,37.4,4137,36871,2012-03-23,Lionsgate Films
27,Spider-Man 3,151116516,336530303,44.9,4252,35540,2007-05-04,Sony Pictures Releasing
28,Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,33078,2018-06-22,Universal Pictures
29,Furious 7,147187040,353007020,41.7,4004,36760,2015-04-03,Universal Pictures
30,Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,33703,2017-05-05,Walt Disney Studios Motion Pictures
31,The Super Mario Bros. Movie,146361865,574934330,25.5,4343,33700,2023-04-05,Universal Pictures
32,Jurassic World Dominion,145075625,376851080,38.5,4676,31025,2022-06-10,Universal Pictures
33,Thor: Love and Thunder,144165107,343256830,42,4375,32952,2022-07-08,Walt Disney Studios Motion Pictures
34,The Twilight Saga: New Moon,142839137,296623634,48.2,4024,35496,2009-11-20,Summit Entertainment
35,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,34660,2012-11-16,Lionsgate Films
